Simulation,Time,Data,Var
9,13.21,0.117702448,DON-15-GlcA (nmol/hr)
9,14.115,0.123345717,DON-15-GlcA (nmol/hr)
9,18.365,,DON-15-GlcA (nmol/hr)
10,1.235,,DON-15-GlcA (nmol/hr)
10,4,,DON-15-GlcA (nmol/hr)
10,7.18,,DON-15-GlcA (nmol/hr)
10,10.43,,DON-15-GlcA (nmol/hr)
10,13.255,,DON-15-GlcA (nmol/hr)
10,15.38,,DON-15-GlcA (nmol/hr)
10,18.95,,DON-15-GlcA (nmol/hr)
10,22.62,,DON-15-GlcA (nmol/hr)
11,0.09,,DON-15-GlcA (nmol/hr)
11,0.84,,DON-15-GlcA (nmol/hr)
11,2.54,,DON-15-GlcA (nmol/hr)
11,5.295,,DON-15-GlcA (nmol/hr)
11,8.17,,DON-15-GlcA (nmol/hr)
11,10.29,,DON-15-GlcA (nmol/hr)
11,13.915,,DON-15-GlcA (nmol/hr)
11,19.63,0.065122256,DON-15-GlcA (nmol/hr)
12,1.165,,DON-15-GlcA (nmol/hr)
12,3.87,,DON-15-GlcA (nmol/hr)
12,6.83,,DON-15-GlcA (nmol/hr)
12,9.5,,DON-15-GlcA (nmol/hr)
12,12.275,0.038205057,DON-15-GlcA (nmol/hr)
12,18.36,0.035426888,DON-15-GlcA (nmol/hr)
12,23.46,0.021088356,DON-15-GlcA (nmol/hr)
13,1.75,,DON-15-GlcA (nmol/hr)
13,4.83,,DON-15-GlcA (nmol/hr)
13,7.705,,DON-15-GlcA (nmol/hr)
13,11.375,,DON-15-GlcA (nmol/hr)
13,18.33,0.022480437,DON-15-GlcA (nmol/hr)
13,23.58,,DON-15-GlcA (nmol/hr)
14,0.96,,DON-15-GlcA (nmol/hr)
14,3.375,,DON-15-GlcA (nmol/hr)
14,5.415,0.113175431,DON-15-GlcA (nmol/hr)
14,6.5,0.153601695,DON-15-GlcA (nmol/hr)
14,7.875,,DON-15-GlcA (nmol/hr)
14,14,,DON-15-GlcA (nmol/hr)
14,20.205,,DON-15-GlcA (nmol/hr)
15,2.015,,DON-15-GlcA (nmol/hr)
15,6.255,,DON-15-GlcA (nmol/hr)
15,13.98,,DON-15-GlcA (nmol/hr)
15,20.755,,DON-15-GlcA (nmol/hr)
15,22.655,0.127118644,DON-15-GlcA (nmol/hr)
16,0.25,,DON-15-GlcA (nmol/hr)
16,1.165,,DON-15-GlcA (nmol/hr)
16,2.415,,DON-15-GlcA (nmol/hr)
16,3.375,,DON-15-GlcA (nmol/hr)
16,4.125,,DON-15-GlcA (nmol/hr)
16,5.25,,DON-15-GlcA (nmol/hr)
16,6.75,,DON-15-GlcA (nmol/hr)
16,8.5,,DON-15-GlcA (nmol/hr)
16,10.125,,DON-15-GlcA (nmol/hr)
16,10.875,,DON-15-GlcA (nmol/hr)
16,11.5,,DON-15-GlcA (nmol/hr)
16,12.75,,DON-15-GlcA (nmol/hr)
16,15.84,,DON-15-GlcA (nmol/hr)
16,19.34,,DON-15-GlcA (nmol/hr)
16,21,,DON-15-GlcA (nmol/hr)
16,22.25,,DON-15-GlcA (nmol/hr)
